,Name,Acronym,Founded,Screenshot,Address,Tel,Fax,Other locations,Gender,International Students,Selection Type,Admission Rate,Admission Office,Student Enrollment,Academic Staff,Control Type,Entity Type,Academic Calendar,Campus Setting,Religious Affiliation,Library,Housing,Sport Facilities,Financial Aids,Study Abroad,Distance Learning,Academic Counseling,Career Services,Institutional Hospital,country rank,world rank,Facebook,Twitter,Linkedin,Youtube,Instagram,undergratuate_local,under_local,post_local,postgraduate_international,under_inter,post_inter,Colours,Motto
0,University of Strasbourg,,1621 ,"

 ",4 Rue Blaise Pascal - CS 90032 Strasbourg  67081 Grand Est France, +33 (0)3 68 85 00 00, +33 (0)3 68 85 07 33,Colmar, Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   ,"  over-45,000","
 over-5,000","
 Public",  Non-Profit,"
 Semesters",Not reported,None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported, Yes,1,205,https://www.facebook.com/unistra,https://twitter.com/unistra,https://www.linkedin.com/school/universit%C3%A9-de-strasbourg/,https://www.youtube.com/channel/UCdrq17AhGO_yWZNRPB-X5sA,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
1,University of Paris,,2019 Merger between Université Paris 5 René Descartes (1971) and Université Paris Diderot (1971),"

 ",85 boulevard Saint-Germain Paris  75006 Ile-de-France France, +33 , +33 ,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on students' past academic record and grades", Not reported,   ,"  over-45,000","
 4,500-4,999","
 Public",  Non-Profit,"
 Semesters",Not reported,None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,2,235,https://www.facebook.com/univpariscite,https://twitter.com/univ_paris_cite,https://www.linkedin.com/school/universit%C3%A9-paris-cit%C3%A9/,https://www.youtube.com/channel/UC5WhlXe1I_eRCtEx7cj3ZKg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
2,University of Lille,,2018 Origins date back to 1562,"

 ",42 rue Paul Duez Lille  59000 Hauts-de-France France, +33 (0)3 62 26 90 00, +33 (0)3 20 88 24 32,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  over-45,000", Not reported,"
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ", Not reported , Not reported, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,3,263,https://www.facebook.com/UniversitedeLille,https://twitter.com/univ_lille,https://www.linkedin.com/school/universite-de-lille/,https://www.youtube.com/channel/UCwQRR1SjMMfwdt0NgvFCTAg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
3,Sorbonne University,SU,2018 Merger between Université Paris-Sorbonne (1971) and Université Pierre-et-Marie-Curie (1971),"

 ",21 rue de lÉcole de médecine Paris  75006 Ile-de-France France, +33 (0)1 44 27 44 27, +33 ,Abu Dhabi, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on students' past academic record and grades", Not available,1 Rue Victor Cousin Paris 75230 (0)1 40 46 25 42 (0)1 40 46 25 49,"  over-45,000","
 2,000-2,499","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,4,320,https://www.facebook.com/sorbonne.univ.paris,https://twitter.com/Sorbonne_Univ_,https://www.linkedin.com/school/sorbonne-universite/,https://www.youtube.com/channel/UCJRfmVMO9aeYDHDAJuEv6bw,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",Indigo and yellow,
4,Normal Superior School,ENS,1794 ,"

 ",45 Rue d'Ulm Paris  75230 Ile-de-France France, +33 (0)1 44 32 30 00, +33 (0)1 44 32 20 99,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   ,"  2,000-2,999", Not reported,"
 Public",  Non-Profit, Not reported,"
 Urban",None,"
 Yes   ", Not reported , Not reported, Not reported, Not reported, Not reported,Not reported,Not reported,Not reported,5,356,https://www.facebook.com/Ecole.normale.superieure.ulm,https://twitter.com/ENS_ULM,https://www.linkedin.com/school/ecolenormalesuperieure/,https://www.youtube.com/channel/UCbn8O8WwMeoZsPRxgumfvAQ,,Local students,"0-1,000 US$ (0-750 Euro)",Not reported,International students,"0-1,000 US$ (0-750 Euro)",Not reported,,
5,University of Lorraine,UL,2012 ,"

 ",34 Cours Léopold; CS 25233 Nancy  54052 Grand Est France, +33 (0)3 72 74 00 00, +33 (0)3 83 59 59 55,"Bar-le-Duc, Épinal, Metz, Poligny", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", 0-10%,2 Avenue de la Forêt de Haye Vandoeuvre les Nancy 54500 (0)3 83 59 59 59 ,"  over-45,000","
 3,500-3,999","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported, Yes,6,391,https://www.facebook.com/UnivLorraine,https://twitter.com/Univ_Lorraine,https://www.linkedin.com/school/universit-de-lorraine/,NaN,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)","Black, yellow and white","Faire dialoguer les savoirs, cest innover "
6,University of Bordeaux,UB,1441 ,"

 ",146 rue Léo Saignat CS 61292 Bordeaux  33076 Nouvelle-Aquitaine France, +33 (0)5 57 57 10 10, +33 (0)5 56 80 08 37,Talence and Pessac, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  over-45,000", Not reported,"
 Public",  Non-Profit,"
 Semesters",Not reported,None,"
 Yes   ", Not reported , Not reported, Not reported, Not reported, Not reported,Not reported,Not reported, Yes,7,398,https://www.facebook.com/univbordeaux,https://twitter.com/univbordeaux,https://www.linkedin.com/school/universite-de-bordeaux/,https://www.youtube.com/channel/UCyix7kUjfRNVu-2q9Ve1OLg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
7,Grenoble Alpes University,UGA,1339 ,"

 ",621 avenue Centrale Saint-Martin-d'Hères  38400 Auvergne-Rhone-Alpes France, +33 (0)4 57 42 21 42, +33 (0)4 76 51 42 52,"Bonneville, Chambéry, Valence", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on students' past academic record and grades", Not reported,"621, Avenue Centrale Saint Martin d'Hères 38400 (0)4 76 51 46 00 ","  40,000-44,999","
 3,000-3,499","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes,Not reported,Not reported,Not reported,8,430,https://www.facebook.com/UGrenobleAlpes,https://twitter.com/UGrenobleAlpes,https://www.linkedin.com/school/universit%C3%A9-grenoble-alpes/,https://www.youtube.com/channel/UCcr3jLWXK34HSoVvi-PVn4A,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",Red and gray,Veritas Liberabit Truth will set you free
8,Claude Bernard University Lyon 1,UCBL,1809 ,"

 ","43, Boulevard du 11 Novembre 1918 Villeurbanne  69622 Auvergne-Rhone-Alpes France", +33 (0)4 72 44 80 00, +33 (0)4 72 43 10 20,"Bourg-en-Bresse, Saint-Étienne", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  35,000-39,999","
 over-5,000","
 Public",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes, Not reported, Not reported,  Yes,Not reported,Not reported,Not reported,9,434,https://www.facebook.com/UnivLyon1,https://twitter.com/UnivLyon1,https://www.linkedin.com/school/universite-lyon-1/,https://www.youtube.com/channel/UC43fY8r0fbY4eIYBHCH-SZg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
9,University of Paris-Saclay,UPS,2014 Origins date back to 1971,"

 ","Espace Technologique - Bâtiment Discovery, Route de l'Orme aux Merisiers - RD 128 Saint-Aubin  91190 Ile-de-France France", +33 (0)1 69 33 21 66, +33 ,"Paris, Versailles, Saint-Quentin-en-Yvelines", Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   ,"  over-45,000","
 over-5,000","
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes,Not reported,Not reported,Not reported,10,459,https://www.facebook.com/UParisSaclay,https://twitter.com/UnivParisSaclay,https://www.linkedin.com/school/universit%C3%A9-paris-saclay/,https://www.youtube.com/channel/UCmXYWuRIjeUQJ4ermmlAAag,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
